time,open,high,low,close,time
2021-11-19 07:48:00,1.3496899999999998,1.34975,1.34959,1.3497400000000002,2021-11-19 07:48:00
2021-11-19 07:51:00,1.349735,1.3499349999999999,1.34971,1.3499249999999998,2021-11-19 07:51:00
2021-11-19 07:54:00,1.34979,1.350095,1.349785,1.3500100000000002,2021-11-19 07:54:00
2021-11-19 07:57:00,1.3500100000000002,1.3500299999999998,1.3497949999999999,1.349815,2021-11-19 07:57:00
2021-11-19 08:00:00,1.35036,1.35036,1.34993,1.3500299999999998,2021-11-19 08:00:00
2021-11-19 08:03:00,1.35001,1.35012,1.34968,1.34971,2021-11-19 08:03:00
2021-11-19 08:06:00,1.349695,1.3502100000000001,1.349605,1.3498350000000001,2021-11-19 08:06:00
2021-11-19 08:09:00,1.3498350000000001,1.3501400000000001,1.3498350000000001,1.3500100000000002,2021-11-19 08:09:00
2021-11-19 08:12:00,1.349985,1.350235,1.349985,1.350125,2021-11-19 08:12:00
2021-11-19 08:15:00,1.35005,1.3501349999999999,1.34984,1.34991,2021-11-19 08:15:00
2021-11-19 08:18:00,1.349885,1.350355,1.3497949999999999,1.350355,2021-11-19 08:18:00
2021-11-19 08:21:00,1.35032,1.350825,1.35032,1.3508,2021-11-19 08:21:00
2021-11-19 08:24:00,1.3507799999999999,1.350915,1.350645,1.35066,2021-11-19 08:24:00
2021-11-19 08:27:00,1.350645,1.35077,1.3504399999999999,1.3504900000000002,2021-11-19 08:27:00
2021-11-19 08:30:00,1.350465,1.350505,1.35029,1.3503850000000002,2021-11-19 08:30:00
2021-11-19 08:33:00,1.3504049999999999,1.350915,1.35032,1.350915,2021-11-19 08:33:00
2021-11-19 08:36:00,1.350895,1.35095,1.350705,1.3508,2021-11-19 08:36:00
2021-11-19 08:39:00,1.350645,1.35086,1.3506049999999998,1.35086,2021-11-19 08:39:00
2021-11-19 08:42:00,1.3508900000000001,1.3508900000000001,1.35049,1.35049,2021-11-19 08:42:00
2021-11-19 08:45:00,1.35049,1.3505,1.3501750000000001,1.350305,2021-11-19 08:45:00
2021-11-19 08:48:00,1.350295,1.350295,1.35009,1.3502,2021-11-19 08:48:00
2021-11-19 08:51:00,1.350225,1.3504,1.35,1.3500100000000002,2021-11-19 08:51:00
